name,position,industry,company_size,finance_stage,location,experience,education,salary
北京瑞友科技股份有限公司,Python开发工程师,金融,2000人以上,上市公司,南山区,1-3年,本科,10k-14k
深圳市微课科技有限公司,Python,移动互联网电商后端Linux/UnixMySQL,50-150人,A轮,南山区,1-3年,本科,9k-15k
广州维朗网络科技有限公司,Python开发工程师,,50-150人,不需要融资,福田区,1-3年,大专,10k-15k
深圳市埃提思科技开发有限公司,Python,,15-50人,天使轮,南山区,1-3年,大专,8k-15k
深圳鑫科国际商业保理有限公司,python工程师,,15-50人,A轮,南山区,1-3年,本科,7k-12k
深圳宸睿科技有限公司,Python工程师,教育直播,少于15人,不需要融资,南山区,3-5年,本科,9k-16k
深圳富桂精密工业有限公司,Python开发工程师,通信/网络设备测试开发,2000人以上,不需要融资,龙华新区,1-3年,本科,6k-12k
深圳市华云中盛科技有限公司,python开发工程师,企业服务JavaPHP,500-2000人,不需要融资,南山区,3-5年,大专,12k-20k
深圳大数点科技有限公司,Python研发工程师,大数据自动化数据挖掘,15-50人,A轮,南山区,1-3年,本科,8k-14k
百丽电子商务（上海）有限公司,python研发工程师,,500-2000人,不需要融资,南山区,3-5年,本科,15k-25k
深圳市启晟互联网科技有限公司,python开发工程师,,150-500人,未融资,龙华新区,1-3年,本科,10k-20k
深圳点猫科技有限公司,Python工程师,教育大数据数据挖掘,500-2000人,B轮,南山区,不限,本科,15k-30k
深圳贝尔信息科技有限公司,Python工程师（人工智能方向）,,少于15人,不需要融资,南山区,不限,本科,8k-16k
广州影子控股股份有限公司,Python 全栈工程师（深圳公司）,大数据云计算,150-500人,不需要融资,南山区,5-10年,本科,20k-40k
北京瑞友科技股份有限公司,Python开发工程师-Z,投资/融资保险后端,2000人以上,上市公司,南山区,3-5年,本科,10k-16k
深圳市金证科技股份有限公司,后台开发（python）工程师,,2000人以上,上市公司,福田区,3-5年,本科,12k-14k
万科物业发展股份有限公司,高级Python开发,,2000人以上,不需要融资,福田区,3-5年,本科,15k-25k
深圳市顺永通电子有限公司,python开发工程师,,50-150人,不需要融资,宝安区,3-5年,本科,10k-20k
深圳市蝌蚪文科技有限公司,python工程师,电商数据分析数据挖掘数据库开发,15-50人,不需要融资,福田区,1-3年,不限,14k-24k
岩心科技（深圳）有限公司,高级Python工程师/面向对象高级Python工,大数据Hadoop,500-2000人,C轮,南山区,3-5年,本科,15k-30k
风变科技（深圳）有限公司,Python开发实习生,,50-150人,A轮,南山区,应届毕业生,本科,4k-8k
深圳英菲创新智能科技有限公司,Python开发工程师,移动互联网服务器端,15-50人,B轮,南山区,3-5年,本科,12k-24k
亿达信息技术（深圳）有限公司,python后台研发,移动互联网大数据后端,2000人以上,不需要融资,南山区,3-5年,本科,13k-15k
深圳市纽创信安科技开发有限公司,软件工程师 (Python),信息安全软件开发Linux,15-50人,不需要融资,南山区,1-3年,本科,15k-25k
深圳市风禾尽起网络技术有限公司,高级python工程师,广告营销移动互联网后端平台网络爬虫,15-50人,未融资,宝安区,3-5年,本科,15k-25k
